tvl
"{'date': 1639440000, 'totalLiquidityUSD': 1218446046.310172}"
"{'date': 1639526400, 'totalLiquidityUSD': 1232543993.3558512}"
"{'date': 1639612800, 'totalLiquidityUSD': 1266691628.4538388}"
"{'date': 1639699200, 'totalLiquidityUSD': 1253049567.6307528}"
"{'date': 1639785600, 'totalLiquidityUSD': 1233365892.282921}"
"{'date': 1639872000, 'totalLiquidityUSD': 1256258039.6168897}"
"{'date': 1639958400, 'totalLiquidityUSD': 1243591942.910821}"
"{'date': 1640044800, 'totalLiquidityUSD': 1244745150.5878518}"
"{'date': 1640131200, 'totalLiquidityUSD': 1287691485.7135253}"
"{'date': 1640217600, 'totalLiquidityUSD': 1296108233.3824067}"
"{'date': 1640304000, 'totalLiquidityUSD': 1373296972.5549479}"
"{'date': 1640390400, 'totalLiquidityUSD': 1366552428.4516096}"
"{'date': 1640476800, 'totalLiquidityUSD': 1375102367.9572744}"
"{'date': 1640563200, 'totalLiquidityUSD': 1389195525.0477715}"
"{'date': 1640649600, 'totalLiquidityUSD': 1377978634.1147149}"
"{'date': 1640736000, 'totalLiquidityUSD': 1294676773.2340772}"
"{'date': 1640822400, 'totalLiquidityUSD': 1262951510.9105604}"
"{'date': 1640908800, 'totalLiquidityUSD': 1270269984.0933995}"
